screenName,name,bio,followersCount,tweetsCount,friendsCount
AnandSi18833477,Anand Sinha,happer then ever,0,2,8
elvickydabhade,El_vicky,An Outcome-Oriented Coding Community That Aims To Up Skill All Its Members And Ultimately Make Them Have Successful Careers.,1,53,73
nsccpccoe,"Newton School Coding Club, PCCOE","""Passionate Computer Science student | Exploring the digital realms | Coding enthusiast |Tech aficionado | Let's geek out together! #CSStudent""",14,23,36
samanyudeghuria,Samanyu Deghuria,Student @Bitdurgoffical  | Core Team Member @GDSCBITD | UI/UX Designer,7,9,86
Priyanshg0211,Priyansh Gupta,"tech. rockets. videogames.
(+shitposting)
📍Manipal

MIT '26",9,47,82
shawshawnk,shaSHANKS î¨€,,12,66,218
PrathamRasal05,Pratham Rasal,"| Avid self-improver| Constantly learning, evolving and exploring 📚🌎",9,3,19
Suraj_441,Suraj Mishra,Software Engineer,2,14,101
saurabh__mehta,saurabh mehta,"ECE student, Mumbai",12,52,489
PiyushG62453078,Piyush Gupta,,0,0,11
Codeaxe01,Codeaxe,Project Engineer at Centerl for material for electronic technology (C-MET) (Government of India),0,1,53
GaneshB25090026,Ganesh Bhise,Team @HackTheLeague | @She__Fi -ing💫 |  Designer @decentraclasses  | gaudmire S4 @_buildspace | Ex Design Lead @gdscbvppune | AIESEC alumnus,16,15,124
JyotiMondal24,Jyoti Mondal,Blunder developer,47,11,97
Simran54438487,Simran,,4,2,82
MalhotraYajjur,Yajjur Malhotra,,0,0,42
harshini_n17,Harshini N,Science and Technology,4,0,35
ImrealU,iMreal Utkarsh,20' | Top 30 @SamsungIndia SFT 2023  | Open Source contributor | Full stack Developer | Data Science | Blogging |,51,172,269
2003vikask,VikasKumar,developing frontend | @ IIT kukas | C | C++ | DSA | React | 20 | CSE'26 ||,133,388,437
its_samishaikh,sami shaikh,"Explorer, Aspiring - Market analyst, Into Social media Marketing, Freelancer, Ex- Media student.",103,123,1069
VibhanshuSharm6,VIBHANSHU SHARMA,Techno savvy | Coder | Aspiring full stack developer,56,380,236
SarthakB1209,Sarthak Bhalerao,,29,24,356
ParuOfa,PARISHNAV THOKAL,,5,45,124
GNeerusanjay,NeeruSanjay,Software Engineer,187,7812,738
Nishant850,Nishant Chaudhary,,17,32,36
DheeruBiswas,Dheeru Biswas,,0,0,4
AnonymA035,GJ,Humanitarian...,0,0,66
33333Santosh,Santosh,😈😈😈,83,185,5001
VivaanS13031733,Vivaan9960,"Student at L.U , CSE-AI",15,30,510
Deep_Abhi07,Abhishek Pandey,,5,284,172
sidharth_2k04,SIDHARTH,Bio me kya rakha h.,3,42,155
Prashan93061943,Prashant Kumar,,78,0,5002
itz_me_Aswin_,Aswin,Big fan #MSD ⚡,0,1,26
omlokha24494295,Om Lokhande,,8,4,295
Notghost_who,Soham Sitapara,,2,0,67
mihir_bhadak,Mihir Bhadak,"IT'26👨‍💻 , Trying to be better 🌄
@_dhruvx19",6,0,82
dhruvx19,Dhruv Balchandani,,77,95,291
_Sayan_Bhowal,Sayan Bhowal,"Living life on caffeine ☕️ & code 🧑‍💻.
Rendering the world as it should be 🍀.",9,82,18
it_is_Bhagat,Dhritesh Bhagat (db) î¨€,in progress,150,191,483
JAdithya369,adi.thya@860,Campus Ambassador @ GSSOC'23 || Contributor  @ SOC'23|| Web3 Enthusiast || Web Developer,7,10,95
piku_samrat490,Samrat Ghosh,"भारत में रोबोटिक्स इकोसिस्टम का निर्माण करना
🇮🇳 

रोबोटिक्स इंडिया पहला मंच है जो रोबोटिक्स के क्षेत्र में कई विषयों को शामिल करता है।",27,224,252
Roboticsindia_,à¤¦ à¤°à¥‹à¤¬à¥‹à¤Ÿà¤¿à¤•à¥à¤¸ à¤‡à¤‚à¤¡à¤¿à¤¯à¤¾ à¤¹à¤¿à¤‚à¤¦à¥€ (Robotics India Hindi),we come from a profession that declares variables not wars,105,1225,153
Codingenthusias,Coding enthusiasts,"TechEnthusiast.
LearnerForever. 
Love2Code.
UI/UX Beginner. 
Graphics lover.",13,257,455
DeepakRmax02,Deepak.R,"🎖Unesco India Africa Hackathon 2022, 🎖Smart India Africa Hackathon 2022, Intern @fidelity",8,71,95
ShreyaNarayan6,Shreya Narayan,🤍,13,21,50
akashxmk,Akashh\,"National Exhibition In front of PM | Ex-Intel X CBSE AISC Leader |  Full stack web developer | Proficient in Python, PHP, JS, HTML, CSS, etc.",133,181,306
jivesh_kalra,Jivesh Kalra,..,3,34,51
inferno93680437,sharon,,15,13,356
JackSoarrow19,Umesh Shingare,ponder Oneself/  Beyond terrible,4,1,96
pritamiam1,Pankaj BarmanðŸ‡®ðŸ‡³,Team @hacktheleague • Developer • UI/UX Designer • Hackathon Enthusiast • Learning Web3 @LearnWeb3DAO / @web3samaj • Community 🫂,111,2126,1775
imsp_18,Shivang | shivang.lens ðŸŒ¿,,239,1122,874
